&{Gid:61691 Gname:M4A4 | 合纵 (略有磨损) CnyPrice:427.77}
&{Gid:14604 Gname:AWP | 石墨黑 (略有磨损) CnyPrice:989.00}
&{Gid:51167 Gname:印花 | Astralis（金色）| 2020 RMR CnyPrice:18.88}
&{Gid:44230 Gname:血猎手套（★） | 焦炭 (久经沙场) CnyPrice:595.00}
&{Gid:61291 Gname:流浪者匕首（★） | 都市伪装 (崭新出厂) CnyPrice:2098.00}
&{Gid:103027 Gname:印花 | REZ（金色）| 2022年里约热内卢锦标赛 CnyPrice:33.33}
&{Gid:103032 Gname:印花 | NEOFRAG（金色）| 2022年里约热内卢锦标赛 CnyPrice:35.00}
&{Gid:103097 Gname:印花 | FlameZ（金色）| 2022年里约热内卢锦标赛 CnyPrice:88.88}
&{Gid:2251 Gname:Tec-9（StatTrak™） | 燃料喷射器 (久经沙场) CnyPrice:36.00}
&{Gid:5188 Gname:M4A4 | 战场之星 (久经沙场) CnyPrice:26.00}
&{Gid:47909 Gname:印花 | Titan | 2015年克卢日-纳波卡锦标赛 CnyPrice:132.00}
&{Gid:47415 Gname:印花 | Titan | 2015年科隆锦标赛 CnyPrice:199.00}
&{Gid:5587 Gname:MP7 | 七彩斑斓 (略有磨损) CnyPrice:19.00}
&{Gid:55210 Gname:M4A4 | 活色生香 (战痕累累) CnyPrice:28.90}
&{Gid:43517 Gname:M9 刺刀（★） | 狩猎网格 (略有磨损) CnyPrice:2238.00}
&{Gid:48217 Gname:P250 | 葡萄酒 (久经沙场) CnyPrice:22.88}
&{Gid:51978 Gname:刺刀（★） | 澄澈之水 (战痕累累) CnyPrice:1560.00}
&{Gid:45467 Gname:炙热沙城 II 胸章 CnyPrice:208.00}
&{Gid:54412 Gname:流浪者匕首（★） | 森林 DDPAT (战痕累累) CnyPrice:829.50}
&{Gid:49448 Gname:系绳匕首（★） | 屠夫 (崭新出厂) CnyPrice:1910.00}
&{Gid:74 Gname:印花 | Cloud9 G2A | 2015年科隆锦标赛 CnyPrice:14.90}
&{Gid:53251 Gname:AK-47（StatTrak™） | 皇后 (崭新出厂) CnyPrice:1448.00}
&{Gid:2938 Gname:专业手套（★） | 森林 DDPAT (久经沙场) CnyPrice:610.00}
&{Gid:53304 Gname:折叠刀（★ StatTrak™） | 虎牙 (崭新出厂) CnyPrice:2070.00}
&{Gid:101467 Gname:M4A1 消音型（StatTrak™） | 夜无眠 (战痕累累) CnyPrice:43.00}
&{Gid:56755 Gname:刺刀（★） | 自由之手 (战痕累累) CnyPrice:1589.00}
&{Gid:44440 Gname:MP9（StatTrak™） | 九头蛇 (略有磨损) CnyPrice:76.99}
&{Gid:46394 Gname:Tec-9（StatTrak™） | 坍雪寒裘 (崭新出厂) CnyPrice:58.00}
&{Gid:52322 Gname:锯齿爪刀（★ StatTrak™） | 多普勒 (崭新出厂) CnyPrice:4444.00}
&{Gid:55578 Gname:封装的涂鸦 | 100 Thieves | 2018年波士顿锦标赛 CnyPrice:90.00}
&{Gid:44772 Gname:驾驶手套（★） | 菱背蛇纹 (略有磨损) CnyPrice:1499.00}
&{Gid:49322 Gname:AWP | 锦虎 (战痕累累) CnyPrice:540.00}
&{Gid:2948 Gname:AWP | 树蝰 (破损不堪) CnyPrice:14.61}
&{Gid:3803 Gname:骷髅匕首（★） | 枯焦之色 (破损不堪) CnyPrice:1560.00}
&{Gid:4141 Gname:SG 553 | 四号栖息地 (略有磨损) CnyPrice:66.70}
&{Gid:49815 Gname:XM1014 | 焚烬之鳄 (破损不堪) CnyPrice:12.00}
&{Gid:49877 Gname:AUG | 秋叶原之选 (久经沙场) CnyPrice:4050.00}
&{Gid:61741 Gname:沙漠之鹰 | 人造卫星 (战痕累累) CnyPrice:15.00}
&{Gid:45182 Gname:双持贝瑞塔 | 都市冲击 (崭新出厂) CnyPrice:13.73}
&{Gid:44177 Gname:M4A4 | 齿仙 (战痕累累) CnyPrice:19.80}
&{Gid:61731 Gname:新星 | 晶红石英 (崭新出厂) CnyPrice:19.90}
&{Gid:61214 Gname:系绳匕首（★ StatTrak™） | 都市伪装 (久经沙场) CnyPrice:719.99}
&{Gid:45434 Gname:M4A1 消音型 | 破碎铅秋 (战痕累累) CnyPrice:28.80}
&{Gid:747 Gname:加利尔 AR | 喧闹骷髅 (破损不堪) CnyPrice:61.50}
&{Gid:45235 Gname:加利尔 AR（StatTrak™） | 冷石 (久经沙场) CnyPrice:17.00}
&{Gid:102951 Gname:印花 | Fnatic（金色）| 2022年里约热内卢锦标赛 CnyPrice:39.04}
&{Gid:55695 Gname:AUG | 赤红新星 (崭新出厂) CnyPrice:1599.00}
&{Gid:4431 Gname:Tec-9 | 燃料喷射器 (破损不堪) CnyPrice:12.60}
&{Gid:559 Gname:AUG | 湖怪鸟 (战痕累累) CnyPrice:10.30}
&{Gid:101959 Gname:印花 | arT（全息） | 2022年安特卫普锦标赛 CnyPrice:26.00}
&{Gid:46087 Gname:蝴蝶刀（★） | 森林 DDPAT (战痕累累) CnyPrice:3278.00}
&{Gid:47840 Gname:AK-47（StatTrak™） | 火神 (略有磨损) CnyPrice:4145.00}
&{Gid:50165 Gname:G3SG1（StatTrak™） | 毒刺 (崭新出厂) CnyPrice:18.40}
&{Gid:44342 Gname:法玛斯（StatTrak™） | 元素轮廓 (略有磨损) CnyPrice:30.90}
&{Gid:103125 Gname:2022年里约热内卢锦标赛远古遗迹纪念包 CnyPrice:17.48}
&{Gid:102360 Gname:P250（StatTrak™） | 迷人幻象 (崭新出厂) CnyPrice:200.00}
&{Gid:52553 Gname:锯齿爪刀（★） | 枯焦之色 (略有磨损) CnyPrice:1625.00}
&{Gid:49113 Gname:SSG 08（StatTrak™） | 喋血战士 (久经沙场) CnyPrice:72.00}
&{Gid:103023 Gname:印花 | latto（金色）| 2022年里约热内卢锦标赛 CnyPrice:35.00}
&{Gid:43511 Gname:USP 消音版 | 锁定 (久经沙场) CnyPrice:615.00}
&{Gid:102416 Gname:P90（StatTrak™） | 给爷冲 (略有磨损) CnyPrice:25.00}
&{Gid:44932 Gname:沙漠之鹰 | 蛊惑之色 (崭新出厂) CnyPrice:548.90}
&{Gid:54393 Gname:爪子刀（★ StatTrak™） | 澄澈之水 (久经沙场) CnyPrice:2610.00}
&{Gid:44722 Gname:AWP | 粉红 DDPAT (略有磨损) CnyPrice:187.00}
&{Gid:43358 Gname:FN57 | 蓝莓樱桃 (崭新出厂) CnyPrice:160.00}
&{Gid:57187 Gname:AK-47（StatTrak™） | 前线迷雾 (战痕累累) CnyPrice:130.00}
&{Gid:55386 Gname:求生匕首（★） | 人工染色 (略有磨损) CnyPrice:785.00}
&{Gid:45631 Gname:驾驶手套（★） | 绯红列赞 (战痕累累) CnyPrice:399.00}
&{Gid:48482 Gname:裹手（★） | 云杉 DDPAT (战痕累累) CnyPrice:520.00}
&{Gid:50057 Gname:熊刀（★ StatTrak™） | 枯焦之色 (久经沙场) CnyPrice:670.00}
&{Gid:102180 Gname:印花 | FalleN（金色） | 2022年安特卫普锦标赛 CnyPrice:185.00}
&{Gid:50208 Gname:弯刀（★ StatTrak™） CnyPrice:1100.00}
&{Gid:46158 Gname:印花 | NiKo | 2017年克拉科夫锦标赛 CnyPrice:80.00}
&{Gid:54432 Gname:印花 | Rickeh（金色）| 2019年卡托维兹锦标赛 CnyPrice:200.00}
&{Gid:54211 Gname:刺刀（★ StatTrak™） | 伽玛多普勒 (崭新出厂) CnyPrice:3650.00}
&{Gid:50723 Gname:印花 | TYLOO（金色）| 2020 RMR CnyPrice:41.99}
&{Gid:102011 Gname:印花 | ZywOo（全息） | 2022年安特卫普锦标赛 CnyPrice:37.00}
&{Gid:45940 Gname:海豹短刀（★） | 表面淬火 (破损不堪) CnyPrice:1005.00}
&{Gid:51072 Gname:折叠刀（★） | 都市伪装 (略有磨损) CnyPrice:950.00}
&{Gid:43944 Gname:Tec-9 | 燃料喷射器 (战痕累累) CnyPrice:11.60}
&{Gid:51820 Gname:折刀（★） | 屠夫 (略有磨损) CnyPrice:730.00}
&{Gid:53820 Gname:折刀（★ StatTrak™） | 虎牙 (崭新出厂) CnyPrice:900.00}
&{Gid:60408 Gname:M9 刺刀（★） | 人工染色 (崭新出厂) CnyPrice:3050.00}
&{Gid:48062 Gname:反恐精英 2 号武器箱 CnyPrice:44.80}
&{Gid:56130 Gname:M9 刺刀（★ StatTrak™） | 自动化 (战痕累累) CnyPrice:4199.00}
&{Gid:43709 Gname:沙漠之鹰 | 飞行员 (久经沙场) CnyPrice:318.00}
&{Gid:2745 Gname:FN57 | 表面淬火 (久经沙场) CnyPrice:42.00}
&{Gid:52999 Gname:刺刀（★） | 多普勒 (略有磨损) CnyPrice:2850.00}
&{Gid:52440 Gname:SG 553（StatTrak™） | 次时代 (崭新出厂) CnyPrice:256.50}
&{Gid:49075 Gname:格洛克 18 型 | 黄铜 (久经沙场) CnyPrice:51.50}
&{Gid:5585 Gname:MAC-10 | 孔雀石 (略有磨损) CnyPrice:13.00}
&{Gid:62093 Gname:鲍伊猎刀（★） | 传说 (崭新出厂) CnyPrice:3588.00}
&{Gid:61439 Gname:M4A4 | 彼岸花 (崭新出厂) CnyPrice:61.00}
&{Gid:49960 Gname:加利尔 AR | 废墟黄昏 (崭新出厂) CnyPrice:40.00}
&{Gid:45947 Gname:加利尔 AR | 水蓝阶地 (崭新出厂) CnyPrice:624.80}
&{Gid:57484 Gname:印花 | Flipsid3 Tactics（闪亮）| 2018年波士顿锦标赛 CnyPrice:234.50}
&{Gid:102870 Gname:印花 | es3tag（全息）| 2022年里约热内卢锦标赛 CnyPrice:10.00}
&{Gid:53145 Gname:印花 | jks（金色）| 2019年卡托维兹锦标赛 CnyPrice:2500.00}
&{Gid:49061 Gname:刺刀（★ StatTrak™） | 自由之手 (久经沙场) CnyPrice:1777.00}
&{Gid:53911 Gname:CZ75（StatTrak™） | 相柳 (崭新出厂) CnyPrice:130.00}
&{Gid:103123 Gname:2022年里约热内卢锦标赛核子危机纪念包 CnyPrice:19.88}
&{Gid:48079 Gname:UMP-45（StatTrak™） | 曝光 (崭新出厂) CnyPrice:16.88}
&{Gid:61338 Gname:骷髅匕首（★） | 森林 DDPAT (崭新出厂) CnyPrice:3600.00}
&{Gid:52079 Gname:印花 | PGL（闪亮）| 2017年克拉科夫锦标赛 CnyPrice:105.00}
&{Gid:48208 Gname:M4A4（纪念品） | 狂哮飓风 (略有磨损) CnyPrice:68.00}
&{Gid:100376 Gname:弯刀（★） | 黑色层压板 (崭新出厂) CnyPrice:850.00}
&{Gid:103100 Gname:印花 | Liazz（金色）| 2022年里约热内卢锦标赛 CnyPrice:70.00}
&{Gid:50914 Gname:暗影双匕（★） | 屠夫 (略有磨损) CnyPrice:737.00}
&{Gid:52848 Gname:AWP（StatTrak™） | 精英之作 (略有磨损) CnyPrice:192.00}
&{Gid:49799 Gname:P2000（StatTrak™） | 酸蚀 (崭新出厂) CnyPrice:37.99}
&{Gid:100592 Gname:M4A1 消音型（纪念品） | 紧迫危机 (战痕累累) CnyPrice:3999.00}
&{Gid:48346 Gname:熊刀（★） | 枯焦之色 (略有磨损) CnyPrice:700.00}
&{Gid:50873 Gname:格洛克 18 型（StatTrak™） | 黑龙纹身 (崭新出厂) CnyPrice:819.00}
&{Gid:43532 Gname:AWP（StatTrak™） | *嘣* (略有磨损) CnyPrice:900.00}
&{Gid:36838 Gname:加利尔 AR | ~甜甜的~ (略有磨损) CnyPrice:251.00}
&{Gid:49328 Gname:锯齿爪刀（★） | 致命紫罗兰 (战痕累累) CnyPrice:1608.88}
&{Gid:62070 Gname:弯刀（★） | 自动化 (略有磨损) CnyPrice:1034.00}
&{Gid:50470 Gname:CZ75 | 梅红时刻 (崭新出厂) CnyPrice:310.00}
&{Gid:100512 Gname:加利尔 AR（纪念品） | 渐变琥珀 (略有磨损) CnyPrice:11.60}
&{Gid:102373 Gname:R8 左轮手枪（StatTrak™） | 疯狂老八 (久经沙场) CnyPrice:11.00}
&{Gid:61495 Gname:MP9（StatTrak™） | 富士山 (崭新出厂) CnyPrice:67.00}
&{Gid:318 Gname:法玛斯（StatTrak™） | 灯神 (久经沙场) CnyPrice:33.00}
&{Gid:43537 Gname:加利尔 AR（StatTrak™） | 信号灯 (略有磨损) CnyPrice:10.20}
&{Gid:101535 Gname:USP 消音版（StatTrak™） | 地狱门票 (战痕累累) CnyPrice:10.55}
&{Gid:49069 Gname:USP 消音版（StatTrak™） | 蓝图 (崭新出厂) CnyPrice:520.00}
&{Gid:53496 Gname:海豹短刀（★） | 都市伪装 (战痕累累) CnyPrice:688.00}
&{Gid:45534 Gname:USP 消音版（纪念品） | 宝蓝之色 (久经沙场) CnyPrice:56.79}
&{Gid:53444 Gname:M4A1 消音型（StatTrak™） | 印花集 (战痕累累) CnyPrice:680.00}
&{Gid:48264 Gname:专业手套（★） | 深红之网 (破损不堪) CnyPrice:1275.00}
&{Gid:48488 Gname:穿肠刀（★） | 致命紫罗兰 (久经沙场) CnyPrice:510.00}
&{Gid:2583 Gname:格洛克 18 型 | 皇家军团 (崭新出厂) CnyPrice:29.50}
&{Gid:47903 Gname:MAC-10 | 紫青之色 (久经沙场) CnyPrice:20.00}
&{Gid:48180 Gname:AK-47（StatTrak™） | 荒野反叛 (略有磨损) CnyPrice:686.00}
&{Gid:51977 Gname:USP 消音版（StatTrak™） | 猎户 (略有磨损) CnyPrice:445.00}
&{Gid:102334 Gname:P250 | 迷人幻象 (崭新出厂) CnyPrice:79.00}
&{Gid:10097 Gname:M4A4 | 全球攻势 (略有磨损) CnyPrice:27.78}
&{Gid:43661 Gname:USP 消音版 | 不锈钢 (崭新出厂) CnyPrice:93.00}
&{Gid:44337 Gname:M4A4 | 沙漠精英 (略有磨损) CnyPrice:29.50}
&{Gid:304 Gname:M4A4 | 辐射危机 (久经沙场) CnyPrice:114.00}
&{Gid:9001 Gname:CZ75 | 翡翠色调 (崭新出厂) CnyPrice:74.00}
&{Gid:54998 Gname:沙漠之鹰（StatTrak™） | 后发制人 (崭新出厂) CnyPrice:63.00}
&{Gid:34836 Gname:爱莉克斯胸章 CnyPrice:184.80}
&{Gid:62095 Gname:鲍伊猎刀（★） | 传说 (略有磨损) CnyPrice:1447.00}
&{Gid:57453 Gname:爪子刀（★） | 传说 (破损不堪) CnyPrice:4700.00}
&{Gid:48409 Gname:沙漠之鹰（StatTrak™） | 轻轨 (崭新出厂) CnyPrice:65.00}
&{Gid:48186 Gname:熊刀（★） | 蓝钢 (战痕累累) CnyPrice:790.00}
&{Gid:53035 Gname:CZ75 | 黄夹克 (破损不堪) CnyPrice:70.00}
&{Gid:51827 Gname:刺刀（★） | 渐变大理石 (略有磨损) CnyPrice:3722.00}
&{Gid:101046 Gname:2021年斯德哥尔摩锦标赛竞争组印花胶囊 CnyPrice:12.80}
&{Gid:3102 Gname:驾驶手套（★） | 菱背蛇纹 (破损不堪) CnyPrice:640.00}
&{Gid:51457 Gname:M4A4（StatTrak™） | 皇家圣骑士 (略有磨损) CnyPrice:395.00}
&{Gid:5247 Gname:音乐盒 | Proxy - 万夫莫敌包 CnyPrice:32.00}
&{Gid:52144 Gname:系绳匕首（★） | 夜色 (略有磨损) CnyPrice:850.00}
&{Gid:46705 Gname:AWP（StatTrak™） | 树蝰 (破损不堪) CnyPrice:36.80}
&{Gid:2612 Gname:音乐盒（StatTrak™） | Austin Wintory - 沙漠之焰 CnyPrice:45.00}
&{Gid:102526 Gname:引爆器音乐盒集 CnyPrice:28.98}
&{Gid:100352 Gname:弯刀（★） | 伽玛多普勒 (略有磨损) CnyPrice:1520.00}
&{Gid:57260 Gname:印花 | chrisJ | 2015年卢日-纳波卡锦标赛 CnyPrice:39.00}
&{Gid:54803 Gname:锯齿爪刀（★） | 蓝钢 (久经沙场) CnyPrice:2140.00}
&{Gid:2273 Gname:SCAR-20（StatTrak™） | 深红之网 (久经沙场) CnyPrice:19.50}
&{Gid:55743 Gname:印花 | gla1ve | 2016年科隆锦标赛 CnyPrice:59.00}
&{Gid:53207 Gname:MP5-SD（StatTrak™） | 磷光体 (战痕累累) CnyPrice:31.00}
&{Gid:872 Gname:SG 553 | 红苹果 (崭新出厂) CnyPrice:29.00}
&{Gid:52261 Gname:格洛克 18 型（StatTrak™） | 水灵 (战痕累累) CnyPrice:66.00}
&{Gid:53351 Gname:XM1014（StatTrak™） | 要抱抱 (略有磨损) CnyPrice:45.00}
&{Gid:51757 Gname:格洛克 18 型（纪念品） | 核子反应 (破损不堪) CnyPrice:70.00}
&{Gid:43573 Gname:UMP-45（纪念品） | 炽烈之炎 (崭新出厂) CnyPrice:145.00}
&{Gid:54246 Gname:印花 | tabseN（闪亮）| 2017年克拉科夫锦标赛 CnyPrice:199.00}
&{Gid:47217 Gname:格洛克 18 型 | 噩梦之夜 (略有磨损) CnyPrice:14.49}
&{Gid:45597 Gname:刺刀（★） | 枯焦之色 (略有磨损) CnyPrice:1329.00}
&{Gid:62065 Gname:弯刀（★） | 澄澈之水 (崭新出厂) CnyPrice:774.00}
&{Gid:43876 Gname:音乐盒（StatTrak™） | Daniel Sadowski - 绝对统御 CnyPrice:39.00}
&{Gid:101478 Gname:双持贝瑞塔 | 瓜瓜 (崭新出厂) CnyPrice:54.00}
&{Gid:53308 Gname:熊刀（★） | 虎牙 (略有磨损) CnyPrice:1850.10}
&{Gid:4373 Gname:SG 553（StatTrak™） | 幻影 (崭新出厂) CnyPrice:16.78}
&{Gid:53976 Gname:MP9 | 爆裂食物链 (崭新出厂) CnyPrice:48.50}
&{Gid:45910 Gname:印花 | JaCkz（闪亮）| 2019年卡托维兹锦标赛 CnyPrice:18.50}
&{Gid:47833 Gname:印花 | Winstrike Team（闪亮）| 2019年卡托维兹锦标赛 CnyPrice:19.18}
&{Gid:2843 Gname:“九头蛇大行动”武器箱钥匙 CnyPrice:15.00}
&{Gid:2081 Gname:R8 左轮手枪 | 美洲驼炮 (略有磨损) CnyPrice:21.50}
&{Gid:6339 Gname:刺刀（★） | 人工染色 (略有磨损) CnyPrice:1644.00}
&{Gid:54197 Gname:AK-47（StatTrak™） | 二西莫夫 (战痕累累) CnyPrice:259.00}
&{Gid:100413 Gname:USP 消音版（纪念品） | 紫色 DDPAT (略有磨损) CnyPrice:26.00}
&{Gid:53807 Gname:系绳匕首（★） | 枯焦之色 (破损不堪) CnyPrice:578.00}
&{Gid:49268 Gname:USP 消音版 | 血清 (略有磨损) CnyPrice:180.00}
&{Gid:58408 Gname:格洛克 18 型（纪念品） | 核子花园 (崭新出厂) CnyPrice:585.00}
&{Gid:62103 Gname:鲍伊猎刀（★） | 自动化 (战痕累累) CnyPrice:830.00}
&{Gid:102601 Gname:印花 | Vitality（金色）| 2022年里约热内卢锦标赛 CnyPrice:49.00}
&{Gid:56276 Gname:系绳匕首（★） | 深红之网 (略有磨损) CnyPrice:2700.00}
&{Gid:102403 Gname:截短霰弹枪（StatTrak™） | 么么 (久经沙场) CnyPrice:59.90}
&{Gid:49616 Gname:折叠刀（★ StatTrak™） | 伽玛多普勒 (崭新出厂) CnyPrice:2545.00}
&{Gid:62084 Gname:鲍伊猎刀（★ StatTrak™） | 澄澈之水 (久经沙场) CnyPrice:689.00}
&{Gid:52015 Gname:USP 消音版（StatTrak™） | 血清 (崭新出厂) CnyPrice:290.00}
&{Gid:51137 Gname:M4A1 消音型（StatTrak™） | 澄澈之水 (久经沙场) CnyPrice:278.00}
&{Gid:60723 Gname:暗影双匕（★ StatTrak™） | 大马士革钢 (崭新出厂) CnyPrice:828.00}
&{Gid:2564 Gname:USP 消音版（StatTrak™） | 守护者 (崭新出厂) CnyPrice:53.90}
&{Gid:61575 Gname:法玛斯（StatTrak™） | ZX81 彩色 (崭新出厂) CnyPrice:89.00}
&{Gid:3128 Gname:截短霰弹枪 | 荒野公主 (略有磨损) CnyPrice:20.00}
&{Gid:57645 Gname:求生匕首（★） | 屠夫 (久经沙场) CnyPrice:1420.00}
&{Gid:53748 Gname:M4A4 | 皇家圣骑士 (战痕累累) CnyPrice:37.90}
&{Gid:2633 Gname:P90 | 往日行动 (略有磨损) CnyPrice:39.90}
&{Gid:48292 Gname:新星 | 古董枪 (略有磨损) CnyPrice:59.90}
&{Gid:53562 Gname:AK-47（StatTrak™） | 复古浪潮 (破损不堪) CnyPrice:69.90}
&{Gid:62066 Gname:弯刀（★） | 澄澈之水 (战痕累累) CnyPrice:620.00}
&{Gid:1184 Gname:AK-47（StatTrak™） | 蓝色层压板 (崭新出厂) CnyPrice:148.88}
&{Gid:49145 Gname:新星（StatTrak™） | 兴风作浪 (略有磨损) CnyPrice:40.00}
&{Gid:102151 Gname:印花 | cadiaN（金色） | 2022年安特卫普锦标赛 CnyPrice:51.80}
&{Gid:2920 Gname:AK-47 | 复古浪潮 (战痕累累) CnyPrice:22.80}
&{Gid:43634 Gname:MP9（纪念品） | 赤红新星 (崭新出厂) CnyPrice:230.00}
&{Gid:55277 Gname:暗影双匕（★） | 屠夫 (崭新出厂) CnyPrice:805.00}
&{Gid:9522 Gname:音乐盒 | Mateo Messina - 无人之境 CnyPrice:32.00}
&{Gid:51092 Gname:封装的涂鸦 | 咆哮黎明 CnyPrice:49.00}
&{Gid:439 Gname:迈克·赛弗斯 | 联邦调查局（FBI）狙击手 CnyPrice:14.00}
&{Gid:43943 Gname:AK-47（StatTrak™） | 卡特尔 (久经沙场) CnyPrice:108.00}
&{Gid:5452 Gname:M4A1 消音型（StatTrak™） | 闪回 (久经沙场) CnyPrice:24.00}
&{Gid:49557 Gname:M4A4（StatTrak™） | 渐变斑纹 (略有磨损) CnyPrice:42.00}
&{Gid:102952 Gname:印花 | 00 Nation（金色）| 2022年里约热内卢锦标赛 CnyPrice:172.00}
&{Gid:49666 Gname:流浪者匕首（★） | 深红之网 (破损不堪) CnyPrice:2344.00}
&{Gid:102514 Gname:印花 | 全境监察（透镜） CnyPrice:34.00}
&{Gid:48563 Gname:熊刀（★） | 深红之网 (战痕累累) CnyPrice:1137.00}
&{Gid:43394 Gname:M4A4 | 赛博 (久经沙场) CnyPrice:79.00}
&{Gid:49763 Gname:MP7 | 权力之心 (崭新出厂) CnyPrice:15.00}
&{Gid:58495 Gname:音乐盒 | Austin Wintory - 咖啡拉花 CnyPrice:16.90}
&{Gid:43925 Gname:M4A1 消音型 | 翼蜥 (久经沙场) CnyPrice:20.80}
&{Gid:48143 Gname:刺刀（★） | 自由之手 (崭新出厂) CnyPrice:2190.00}
&{Gid:2307 Gname:AK-47（StatTrak™） | 精英之作 (崭新出厂) CnyPrice:115.00}
&{Gid:100331 Gname:印花 | Team Liquid （闪亮） | 2021年斯德哥尔摩锦标赛 CnyPrice:14.09}
&{Gid:46902 Gname:M4A4 | 辐射危机 (略有磨损) CnyPrice:308.00}
&{Gid:61570 Gname:法玛斯 | ZX81 彩色 (崭新出厂) CnyPrice:29.50}
&{Gid:43307 Gname:SSG 08 | 侦测 (崭新出厂) CnyPrice:30.50}
&{Gid:44347 Gname:P250 | 卡特尔 (久经沙场) CnyPrice:24.00}
&{Gid:44730 Gname:猎杀者匕首（★） | 狩猎网格 (久经沙场) CnyPrice:620.00}
&{Gid:50107 Gname:AWP（StatTrak™） | 电子蜂巢 (崭新出厂) CnyPrice:496.00}
&{Gid:5265 Gname:AWP（StatTrak™） | 树蝰 (战痕累累) CnyPrice:35.90}
&{Gid:269 Gname:UMP-45 | 野蛮剑齿虎 (久经沙场) CnyPrice:13.80}
&{Gid:46127 Gname:锯齿爪刀（★ StatTrak™） CnyPrice:2770.00}
&{Gid:55351 Gname:鲍伊猎刀（★） | 表面淬火 (战痕累累) CnyPrice:860.00}
&{Gid:102927 Gname:印花 | IEM（金色）| 2022年里约热内卢锦标赛 CnyPrice:13.72}
&{Gid:101181 Gname:印花 | s1mple（金色）| 2021年斯德哥尔摩锦标赛 CnyPrice:164.50}
&{Gid:62007 Gname:猎杀者匕首（★） | 自由之手 (久经沙场) CnyPrice:680.00}
&{Gid:61337 Gname:骷髅匕首（★） | 北方森林 (崭新出厂) CnyPrice:3200.00}
&{Gid:46507 Gname:AWP | 野火 (战痕累累) CnyPrice:179.99}
&{Gid:61280 Gname:流浪者匕首（★） | 蓝钢 (崭新出厂) CnyPrice:2999.00}
&{Gid:49442 Gname:P250 | 二西莫夫 (略有磨损) CnyPrice:94.00}
&{Gid:61554 Gname:格洛克 18 型（StatTrak™） | 零食派对 (久经沙场) CnyPrice:50.00}
&{Gid:102443 Gname:USP 消音版（StatTrak™） | 印花集 (战痕累累) CnyPrice:460.00}
&{Gid:36839 Gname:MP9 | 铁血玫瑰 (略有磨损) CnyPrice:37.00}
&{Gid:10090 Gname:“两次”麦考伊 | 战术空中管制部队装甲兵 CnyPrice:12.40}
&{Gid:45998 Gname:沙漠之鹰（StatTrak™） | 红色代号 (略有磨损) CnyPrice:480.00}
&{Gid:48357 Gname:AWP | 毛细血管 (崭新出厂) CnyPrice:15.00}
&{Gid:61793 Gname:SSG 08 | 碳素纤维 (崭新出厂) CnyPrice:10.00}
&{Gid:1535 Gname:印花 | 黑桃 A（全息） CnyPrice:20.50}
&{Gid:57596 Gname:流浪者匕首（★ StatTrak™） | 枯焦之色 (破损不堪) CnyPrice:830.00}
&{Gid:3141 Gname:Tec-9（StatTrak™） | 青竹伪装 (略有磨损) CnyPrice:15.00}
&{Gid:43528 Gname:AWP（StatTrak™） | 冲出重围 (略有磨损) CnyPrice:1370.00}
&{Gid:2101 Gname:AUG（StatTrak™） | 汪之萌杀 (崭新出厂) CnyPrice:130.00}
&{Gid:46666 Gname:MAC-10（纪念品） | 红苹果 (略有磨损) CnyPrice:27.00}
&{Gid:49086 Gname:P90 | 棕色皮革 (略有磨损) CnyPrice:28.00}
&{Gid:45756 Gname:SCAR-20 | 翡翠色调 (崭新出厂) CnyPrice:138.00}
&{Gid:2748 Gname:USP 消音版 | 公路杀手 (略有磨损) CnyPrice:155.00}
&{Gid:54325 Gname:MAG-7 | 威吓者 (破损不堪) CnyPrice:14.00}
&{Gid:101133 Gname:亚诺（野草） | 游击队 CnyPrice:16.90}
&{Gid:55587 Gname:鲍伊猎刀（★） | 人工染色 (久经沙场) CnyPrice:650.00}
&{Gid:61942 Gname:暗影双匕（★） | 澄澈之水 (略有磨损) CnyPrice:520.00}
&{Gid:101454 Gname:法玛斯 | 目皆转睛 (略有磨损) CnyPrice:24.00}
&{Gid:45753 Gname:MP7 | 复仇者 (崭新出厂) CnyPrice:59.00}
&{Gid:55946 Gname:M4A4（纪念品） | 主机 (破损不堪) CnyPrice:12.00}
&{Gid:47390 Gname:CZ75 | 黄夹克 (略有磨损) CnyPrice:39.80}
&{Gid:61515 Gname:SSG 08（StatTrak™） | 速度激情 (崭新出厂) CnyPrice:190.00}
&{Gid:101947 Gname:印花 | KSCERATO（全息）| 2022年安特卫普锦标赛 CnyPrice:12.00}
&{Gid:101548 Gname:双持贝瑞塔（StatTrak™） | 瓜瓜 (久经沙场) CnyPrice:23.00}
&{Gid:50051 Gname:鲍伊猎刀（★） | 深红之网 (略有磨损) CnyPrice:1620.00}
&{Gid:46612 Gname:音乐盒 | Austin Wintory - 巴克拉姆 CnyPrice:16.00}
&{Gid:49279 Gname:折叠刀（★） | 蓝钢 (战痕累累) CnyPrice:1200.00}
&{Gid:46712 Gname:印花 | 杀戮快感 (全息) CnyPrice:25.00}
&{Gid:44098 Gname:M4A1 消音型 | 暴怒野兽 (战痕累累) CnyPrice:79.00}
&{Gid:61659 Gname:沙漠之鹰 | 沙漠之狐 (久经沙场) CnyPrice:1228.00}
&{Gid:44193 Gname:AWP（StatTrak™） | 亡灵之主 (略有磨损) CnyPrice:47.60}
&{Gid:206 Gname:PP-野牛 | 水纹之印 (崭新出厂) CnyPrice:11.00}
